x0000,y0000
-1.516893894,112.5,
-1.51511559,112.5,
-1.513337285,0,
-1.51155898,168.75,
-1.509780676,168.75,
-1.508002371,112.5,
-1.506224066,0,
-1.504445762,56.25,
-1.502667457,0,
-1.500889152,168.75,
-1.499110848,56.25,
-1.497332543,112.5,
-1.495554238,0,
-1.493775934,112.5,
-1.491997629,281.25,
-1.490219324,112.5,
-1.48844102,225,
-1.486662715,0,
-1.48488441,0,
-1.483106106,0,
-1.481327801,56.25,
-1.479549496,0,
-1.477771191,168.75,
-1.475992887,56.25,
-1.474214582,0,
-1.472436277,56.25,
-1.470657973,112.5,
-1.468879668,56.25,
-1.467101363,56.25,
-1.465323059,56.25,
-1.463544754,56.25,
-1.461766449,337.5,
-1.459988145,0,
-1.45820984,112.5,
-1.456431535,0,
-1.454653231,0,
-1.452874926,0,
-1.451096621,0,
-1.449318317,225,
-1.447540012,0,
-1.445761707,56.25,
-1.443983402,225,
-1.442205098,112.5,
-1.440426793,112.5,
-1.438648488,56.25,
-1.436870184,0,
-1.435091879,168.75,
-1.433313574,56.25,
-1.43153527,112.5,
-1.429756965,0,
-1.42797866,112.5,
-1.426200356,112.5,
-1.424422051,56.25,
-1.422643746,112.5,
-1.420865442,225,
-1.419087137,112.5,
-1.417308832,0,
-1.415530528,0,
-1.413752223,112.5,
-1.411973918,112.5,
-1.410195614,0,
-1.408417309,112.5,
-1.406639004,168.75,
-1.404860699,168.75,
-1.403082395,112.5,
-1.40130409,168.75,
-1.399525785,0,
-1.397747481,112.5,
-1.395969176,0,
-1.394190871,56.25,
-1.392412567,0,
-1.390634262,56.25,
-1.388855957,0,
-1.387077653,56.25,
-1.385299348,112.5,
-1.383521043,0,
-1.381742739,0,
-1.379964434,0,
-1.378186129,56.25,
-1.376407825,0,
-1.37462952,0,
-1.372851215,56.25,
-1.37107291,112.5,
-1.369294606,56.25,
-1.367516301,0,
-1.365737996,112.5,
-1.363959692,56.25,
-1.362181387,168.75,
-1.360403082,0,
-1.358624778,168.75,
-1.356846473,337.5,
-1.355068168,112.5,
-1.353289864,0,
-1.351511559,112.5,
-1.349733254,56.25,
-1.34795495,0,
-1.346176645,56.25,
-1.34439834,112.5,
-1.342620036,168.75,
-1.340841731,225,
-1.339063426,0,
-1.337285122,168.75,
-1.335506817,0,
-1.333728512,0,
-1.331950207,168.75,
-1.330171903,56.25,
-1.328393598,56.25,
-1.326615293,112.5,
-1.324836989,168.75,
-1.323058684,56.25,
-1.321280379,112.5,
-1.319502075,56.25,
-1.31772377,56.25,
-1.315945465,0,
-1.314167161,0,
-1.312388856,168.75,
-1.310610551,168.75,
-1.308832247,0,
-1.307053942,56.25,
-1.305275637,56.25,
-1.303497333,0,
-1.301719028,168.75,
-1.299940723,0,
-1.298162418,56.25,
-1.296384114,56.25,
-1.294605809,0,
-1.292827504,56.25,
-1.2910492,0,
-1.289270895,56.25,
-1.28749259,56.25,
-1.285714286,112.5,
-1.283935981,56.25,
-1.282157676,0,
-1.280379372,56.25,
-1.278601067,56.25,
-1.276822762,0,
-1.275044458,56.25,
-1.273266153,0,
-1.271487848,168.75,
-1.269709544,56.25,
-1.267931239,337.5,
-1.266152934,56.25,
-1.26437463,56.25,
-1.262596325,281.25,
-1.26081802,337.5,
-1.259039715,281.25,
-1.257261411,168.75,
-1.255483106,225,
-1.253704801,450,
-1.251926497,225,
-1.250148192,225,
-1.248369887,168.75,
-1.246591583,168.75,
-1.244813278,281.25,
-1.243034973,225,
-1.241256669,0,
-1.239478364,225,
-1.237700059,56.25,
-1.235921755,168.75,
-1.23414345,56.25,
-1.232365145,225,
-1.230586841,225,
-1.228808536,56.25,
-1.227030231,56.25,
-1.225251926,112.5,
-1.223473622,281.25,
-1.221695317,0,
-1.219917012,112.5,
-1.218138708,112.5,
-1.216360403,0,
-1.214582098,56.25,
-1.212803794,0,
-1.211025489,56.25,
-1.209247184,168.75,
-1.20746888,56.25,
-1.205690575,56.25,
-1.20391227,56.25,
-1.202133966,168.75,
-1.200355661,112.5,
-1.198577356,56.25,
-1.196799052,112.5,
-1.195020747,112.5,
-1.193242442,0,
-1.191464138,0,
-1.189685833,0,
-1.187907528,0,
-1.186129223,0,
-1.184350919,112.5,
-1.182572614,112.5,
-1.180794309,56.25,
-1.179016005,112.5,
-1.1772377,0,
-1.175459395,112.5,
-1.173681091,225,
-1.171902786,168.75,
-1.170124481,112.5,
-1.168346177,56.25,
-1.166567872,112.5,
-1.164789567,168.75,
-1.163011263,393.75,
-1.161232958,168.75,
-1.159454653,112.5,
-1.157676349,112.5,
-1.155898044,0,
-1.154119739,168.75,
-1.152341434,112.5,
-1.15056313,112.5,
-1.148784825,0,
-1.14700652,112.5,
-1.145228216,0,
-1.143449911,0,
-1.141671606,112.5,
-1.139893302,281.25,
-1.138114997,56.25,
-1.136336692,112.5,
-1.134558388,56.25,
-1.132780083,0,
-1.131001778,112.5,
-1.129223474,56.25,
-1.127445169,56.25,
-1.125666864,0,
-1.12388856,56.25,
-1.122110255,0,
-1.12033195,0,
-1.118553646,112.5,
-1.116775341,0,
-1.114997036,0,
-1.113218731,56.25,
-1.111440427,0,
-1.109662122,0,
-1.107883817,112.5,
-1.106105513,0,
-1.104327208,0,
-1.102548903,56.25,
-1.100770599,56.25,
-1.098992294,0,
-1.097213989,56.25,
-1.095435685,112.5,
-1.09365738,112.5,
-1.091879075,56.25,
-1.090100771,0,
-1.088322466,56.25,
-1.086544161,0,
-1.084765857,0,
-1.082987552,112.5,
-1.081209247,56.25,
-1.079430943,56.25,
-1.077652638,0,
-1.075874333,0,
-1.074096028,112.5,
-1.072317724,56.25,
-1.070539419,112.5,
-1.068761114,0,
-1.06698281,0,
-1.065204505,112.5,
-1.0634262,56.25,
-1.061647896,0,
-1.059869591,56.25,
-1.058091286,56.25,
-1.056312982,0,
-1.054534677,56.25,
-1.052756372,0,
-1.050978068,0,
-1.049199763,56.25,
-1.047421458,0,
-1.045643154,56.25,
-1.043864849,0,
-1.042086544,56.25,
-1.040308239,0,
-1.038529935,168.75,
-1.03675163,0,
-1.034973325,0,
-1.033195021,56.25,
-1.031416716,0,
-1.029638411,0,
-1.027860107,168.75,
-1.026081802,56.25,
-1.024303497,112.5,
-1.022525193,168.75,
-1.020746888,0,
-1.018968583,0,
-1.017190279,0,
-1.015411974,56.25,
-1.013633669,0,
-1.011855365,56.25,
-1.01007706,112.5,
-1.008298755,0,
-1.006520451,112.5,
-1.004742146,56.25,
-1.002963841,56.25,
-1.001185536,112.5,
-0.9994072318,0,
-0.9976289271,56.25,
-0.9958506224,112.5,
-0.9940723177,0,
-0.992294013,56.25,
-0.9905157084,56.25,
-0.9887374037,112.5,
-0.986959099,56.25,
-0.9851807943,0,
-0.9834024896,168.75,
-0.9816241849,56.25,
-0.9798458803,56.25,
-0.9780675756,0,
-0.9762892709,0,
-0.9745109662,112.5,
-0.9727326615,0,
-0.9709543568,168.75,
-0.9691760522,112.5,
-0.9673977475,56.25,
-0.9656194428,0,
-0.9638411381,0,
-0.9620628334,225,
-0.9602845287,112.5,
-0.9585062241,56.25,
-0.9567279194,112.5,
-0.9549496147,168.75,
-0.95317131,112.5,
-0.9513930053,0,
-0.9496147007,0,
-0.947836396,0,
-0.9460580913,56.25,
-0.9442797866,0,
-0.9425014819,168.75,
-0.9407231772,168.75,
-0.9389448726,112.5,
-0.9371665679,56.25,
-0.9353882632,56.25,
-0.9336099585,0,
-0.9318316538,112.5,
